Position Title,Date,Apply,Work Model,Location,Company,Salary,Hire Time,Graduate Time,Company Industry,Company Size,Qualifications
"Business Systems, Tools & AI Solutions Intern",2026-03-26,https://jobright.ai/jobs/info/69c5cd00aa3c2c1995e04df4?utm_source=1099&utm_campaign=Software Engineer,Remote,"Multi Location
United States
6314 Remote/Teleworker US",Leidos,$48100-$86950 /yr,,,"Computer,Government",10000+,"1. Currently pursuing a Bachelor’s degree in Computer Science, Engineering, Business Analytics, Information Systems, or a related field
2. Strong Excel skills, including advanced formulas and macros
3. Experience with JavaScript, Visual Basic/VBA, and/or Python
..."
Software Engineer Intern,2026-03-26,https://jobright.ai/jobs/info/69c5cc9b1818a24cd84bb445?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
Huntsville, AL
Morgantown, WV
Reston, VA",Leidos,$48K-$87K /yr,,,"Computer,Government",10000+,"1. Currently enrolled in a Bachelor’s or Master’s program in Computer Science, Computer Engineering, Software Engineering, or a closely related field.
2. Proficiency in programming languages such as C#, C++, Java, and WPF.
3. Fundamental background in software design patterns.
..."
Fall 2026 Intern Onboard Infrastructure Engineer,2026-03-26,https://jobright.ai/jobs/info/69c5cc6b83ea553769fd026e?utm_source=1099&utm_campaign=Software Engineer,On Site,"Mountain View, CA",Kodiak,$10000-$10000 /yr,2026-Fall,,"Autonomous Vehicles,Logistics",101-250,"1. Field(s) of study: Computer Science, Electrical Engineering, Automotive Engineering, Mechanical Engineering, or other related fields.
2. Will consider graduate students at any stage of their Master's or Ph.D. studies.
3. Comfort with fundamental mathematics, linear algebra, and calculus.
..."
Quality Assurance Intern,2026-03-26,https://jobright.ai/jobs/info/69c5cc0baa9a29199e80aa98?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"White Plains, NY",Combe Incorporated,$17-$17 /hr,,,"Consumer Goods,Fashion",251-500,"1. Currently enrolled in a relevant undergraduate program in quality assurance, engineering, regulatory, data/analytics, or related field."
Software Engineer Intern,2026-03-26,https://jobright.ai/jobs/info/69c5cb6be565c26a70015656?utm_source=1099&utm_campaign=Software Engineer,On Site,"Charlotte, NC",Premier Inc.,$52000-$78000 /yr,,,"Health Care,Hospital",1001-5000,"1. Years of Applicable Experience - 0 or more years
2. High School Diploma or GED (Required)
3. Remain in a stationary position for prolonged periods of time
..."
Test Engineering Intern (Software),2026-03-26,https://jobright.ai/jobs/info/69c5cb66aa3c2c1995e04c99?utm_source=1099&utm_campaign=Software Engineer,On Site,"Hercules, CA",Bio-Rad Laboratories,$25-$25 /hr,,,"Biotechnology,Health Care",5001-10000,"1. Currently pursuing a Bachelors or Masters degree at an accredited university in Computer Science, Engineering, Data Science or related field.
2. Technical Curiosity - Eager to learn how complex medical instruments work across robotics, fluidics, software, and detection modules.
3. Attention to Detail - Able to follow structured test procedures precisely and catch subtle issues in logs or instrument behavior.
..."
Software Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69c5c939e565c26a7001558f?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Moody's Corporation,$35-$35 /hr,,,,10000+,"1. Good attitude with an open mind-set
2. Should be able to receive feedback and be confident in providing feedback
3. Python 3+ development skills
..."
AI & Cloud Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69c5c8fee565c26a7001546a?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Atlanta, GA
Atlanta, GA, US",Safe-Guard Products International,N/A,,,"Accounting,Automotive",251-500,"1. Currently pursuing a degree in Computer Science, Data Science, Information Systems, Software Engineering, or a related field
2. Foundational knowledge of at least one programming language (Python or similar)
3. Familiarity with cloud platforms, particularly Amazon Web Services
..."
Vibe Engineering Internship,2026-03-26,https://jobright.ai/jobs/info/69c5c4341b5ad02887378da2?utm_source=1099&utm_campaign=Software Engineer,On Site,"Scottsdale, AZ",Wise Pelican,$25-$25 /yr,,,"Advertising,Marketing",1-10,"1. Current student (college, bootcamp, or trade school) with a foundational understanding of coding.
2. Familiar with JavaScript/TypeScript and front-end frameworks like React.
3. Excited about building things that matter and have a curiosity for user outcomes.
..."
2026 Summer Software Development Internship,2026-03-26,https://jobright.ai/jobs/info/69c5c1a8e565c26a700148fb?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Lititz, PA",WebstaurantStore,N/A,2026-Summer,,"Consumer Goods,Industrial",251-500,"1. Students currently enrolled in a continuing education program.
2. Students with a general understanding of software and web development.
3. Motivated individuals who are eager to learn, grow, and contribute.
..."
Back End Developer Intern 2026,2026-03-26,https://jobright.ai/jobs/info/69c5c0ea1818a24cd84ba5a1?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
Austin, TX
Poughkeepsie, AR
Lowell, MA
Research Park, California, United States
Sandy Springs, GA
Tucson, AZ
Durham, NC
Rochester, MN",IBM,N/A,2026,,"Business Development,Business Information Systems",10000+,"1. Must have basic knowledge in one or more of the following technology areas: Understanding of software development concepts C++, C, Java, Golang, Ruby, Python, Perl, SQL
2. Working knowledge of servers, applications, devOps tools (Git, Jenkins), and databases
3. Familiarity with APIs
..."
Software Engineer Intern,2026-03-26,https://jobright.ai/jobs/info/69c5bf541b5ad02887378b2e?utm_source=1099&utm_campaign=Software Engineer,Remote,"Plano, TX",Injuria,$15-$20 /hr,,,,1-10,"1. Comfortable with JavaScript/TypeScript and at least one modern web framework
2. Has built at least one project outside of coursework (personal project, open source, freelance, anything)
3. Able to read documentation and figure things out independently
..."
Intern - Engineering,2026-03-26,https://jobright.ai/jobs/info/69c5be381b5ad02887378b09?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
San Francisco, CA
San Francisco",Lindy,N/A,,,"Agentic AI,Artificial Intelligence (AI)",11-50,"1. You're studying CS or a related field, or you've taught yourself — either works
2. You've built things: side projects, hackathon submissions, open source contributions, anything
3. You're comfortable in at least one language; you pick up new ones without much fuss
..."
"Test Engineer Intern, Advanced Rail Technology",2026-03-26,https://jobright.ai/jobs/info/69c5b9f2aa9a29199e80941b?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Southlake, TX
Southlake
Leased Office - Southlake, TX - 477","Progress Rail, A Caterpillar Company",N/A,,,"Machinery Manufacturing,Manufacturing",10000+,"1. Currently enrolled in a Bachelor’s or Master’s program in Computer Science, Software Engineering, Information Technology, Systems Engineering, or a related technical field.
2. Basic understanding of software QA methodologies, tools, and processes.
3. Strong analytical skills and attention to detail.
..."
IT Intern,2026-03-26,https://jobright.ai/jobs/info/69c5b9e0aa9a29199e8093a0?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Fort Mill, SC
Fort Mill, SC, US, 29715",Schaeffler,N/A,,,"Automotive,Industrial",10000+,"1. Pursuing B.S. in Computer Science, Engineering, Math, Statistics, Business Analytics, or related STEM with focus on Machine Learning.
2. Strong background in data structures and algorithms; hands-on experience with Python, SQL, and data science workflows (feature engineering, cleaning, model development, deployment).
3. Skilled in data science solutions, including visualization and AI tools for communicating insights.
..."
Software Developer Intern -Remote,2026-03-26,https://jobright.ai/jobs/info/69c5b954e565c26a70013f2d?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,AgileGrid Solutions,N/A,,,,,"1. Currently pursuing or recently completed a degree in Information Technology, Computer Science, Software Engineering, or a related field.
2. Proficiency in Java and Angular frameworks, with a solid understanding of full-stack development principles.
3. Strong problem-solving skills and the ability to work collaboratively in a team environment.
..."
Software Engineering Intern - Onsite,2026-03-26,https://jobright.ai/jobs/info/69c5b8e0aa3c2c1995e0345b?utm_source=1099&utm_campaign=Software Engineer,On Site,"Rancho Santa Margarita, CA","Palomar Products, Inc.",$22-$25 /hr,,,"Aerospace,Information Technology",101-250,"1. Experience in one or more of the following languages: C, C++, Python, C#
2. Experienced using Linux Operating System
3. General understanding of general networking
..."
Full Stack Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/6980f912abff4c399a9fc5f9?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Pleasanton, California, United States
Pleasanton, CA",Avathon,$30-$35 /hr,,,"Analytics,Artificial Intelligence (AI)",251-500,"1. Currently enrolled or recently graduated with a Bachelor’s or Master’s degree in Computer Science, Computer Engineering, or a related field
2. Experience with modern frontend frameworks: React, Redux, or Vue.js
3. Proficiency in HTML5, CSS3, and JavaScript/TypeScript
..."
Summer Intern - Formal Verification,2026-03-26,https://jobright.ai/jobs/info/69c5b1e083ea553769fce6b7?utm_source=1099&utm_campaign=Software Engineer,On Site,"Austin, TX",Cirrus Logic,N/A,,,"Enterprise Software,Real Time",11-50,"1. Master’s or PhD degree in Electrical or Computer Engineering
2. Knowledge in designing and implementing verification environments for module-level designs
3. Excellent communication skills and a collaborative approach to working with team members
..."
Innovation Application Intern,2026-03-26,https://jobright.ai/jobs/info/69c5b1ac83ea553769fce682?utm_source=1099&utm_campaign=Software Engineer,On Site,"Danbury, CT",Entegris,$20-$32 /hr,,,"Advanced Materials,Chemical",5001-10000,"1. Student working on Computer Science Major or similar
2. Strong computers skills
3. Familiar with MS Office applications
..."
Software Engineering Intern - Cloud Platform,2026-03-26,https://jobright.ai/jobs/info/69c5b0941818a24cd84b97da?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Calix,$27.60-$34.50 /hr,,,"Analytics,Information Technology",1001-5000,"1. Currently enrolled in a Bachelor's Degree program majoring in Computer Science, Engineering, or a related field.
2. Preference will be given to students who have completed their Junior or Senior years and who have previous internship or work experience.
3. Familiar with Terraform, Python/Java/Spark/Go-lang.
..."
Software Engineer Intern - Summer 2026,2026-03-26,https://jobright.ai/jobs/info/69c5b029aa9a29199e808cae?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Raleigh, NC
Raleigh, North Carolina",Baxter International Inc.,$26-$26 /hr,2026-Summer,,"Biotechnology,Clinical Trials",10000+,"1. Rising Junior or Senior pursuing a Bachelor’s Degree in Computer Science or related degree.
2. Knowledge of object-oriented programming, software engineering design patterns and best practices.
3. Experience developing solutions using C#/.Net and Angular/React.
..."
Software Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69c5f320aa3c2c1995e06453?utm_source=1099&utm_campaign=Software Engineer,Remote,Remote Worker-USA3-40,Moody's Analytics,$35-$35 /hr,,,,10000+,"1. Good attitude with an open mind-set
2. Should be able to receive feedback and be confident in providing feedback
3. Python 3+ development skills
..."
INTERN - Research Intern IV,2026-03-26,https://jobright.ai/jobs/info/69c5aa1683ea553769fce168?utm_source=1099&utm_campaign=Software Engineer,On Site,"Houston, TX, US",CNPC USA,$30-$30 /yr,,,"Energy,Renewable Energy",101-250,"1. Currently enrolled in or recently admitted to a Master’s degree program in Computer Science, Software Engineering, Artificial Intelligence, or a related technical field.
2. Strong academic standing.
3. Demonstrated project experience in web applications, AI-driven systems, or mobile applications.
..."
Engineering & Science - Software Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69c5a9e6aa9a29199e8087be?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
San Jose
San Jose, CA",Elekta,$28-$28 /hr,,,"Biotechnology,Health Care",1001-5000,"1. Must be an enrolled college student completing a bachelor’s or graduate program in a technology related field such as computer science, computer engineering, or information systems.
2. Cumulative GPA of 3.3 or above.
3. Letter detailing what the student hopes to gain from the internship.
..."
ECP Internship - 2026 QC Analytical Information Technology Summer Internship,2026-03-26,https://jobright.ai/jobs/info/69c5a78e1818a24cd84b90ce?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Holly Springs, NC
Seqirus USA - NC - Holly Springs",CSL,N/A,2026-Summer,,"Biotechnology,Health Care",10000+,"1. Seeking rising seniors, currently enrolled as a full-time student, pursuing a Bachelor’s degree in a related field such as Biology, Biotechnology, Chemistry, Computer Science, or Information Technology.
2. AI tools (CoPilot is ideal).
3. GPA of 3.0 or higher (out of a 4.0 scale).
..."
Software Engineer - Aviation Core Java,2026-03-26,https://jobright.ai/jobs/info/69c5a2e483ea553769fcdce8?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Olathe, KS
Chandler, AZ",Garmin,N/A,,,"Consumer Electronics,Consumer Goods",10000+,"1. Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Aerospace Engineering, Math, Physics or related field AND a minimum of 1 year relevant experience OR an equivalent combination of education and experience
2. Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
3. Demonstrated proficiency and experience necessary to develop moderately complex software in C, C++, C#, Java, or other selected languages
..."
Senior iOS Software Engineer,2026-03-26,https://jobright.ai/jobs/info/68e5eb28e8daec61499a64b9?utm_source=1099&utm_campaign=Software Engineer,On Site,"Chandler, AZ",Garmin,N/A,,,"Consumer Electronics,Consumer Goods",10000+,"1. Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Aerospace Engineering, Math, Physics or related field AND a minimum of 5 years relevant experience OR an equivalent combination of education and experience
2. Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
3. Demonstrated proficiency with designing well architectured software systems and modules that support new technology or improve capability/performance of existing functionality
..."
Computer Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69b334e5a8ac8e70ff677533?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Albuquerque, NM
Long Beach, MS",Leidos,$48K-$87K /yr,,,"Computer,Government",10000+,"1. Currently enrolled in a bachelor's degree program in Electro-Optics, Physics, Electrical Engineering, Mechanical Engineering, Systems Engineering, Computer Science, or Mathematics.
2. Experience with operating mechanical-electro-optical equipment such as, sources, detectors, sensors, lasers, and characterization equipment.
3. Experience with collecting, analyzing, interpreting data, writing test plans, documenting test results, and generating reports.
..."
Technology Enablement & Technical Documentation Intern,2026-03-26,https://jobright.ai/jobs/info/69c279cfec22f8310ab04718?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Leidos,$48K-$87K /yr,,,"Computer,Government",10000+,"1. Actively enrolled in an undergraduate or graduate program
2. US citizenship required
3. Cumulative GPA: 3.3 or above
..."
Quality Assurance Internship - Summer 2026,2026-03-26,https://jobright.ai/jobs/info/69c59e63e565c26a70012bca?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Lockport, NY
Zelienople, PA
Monaca, PA
Latrobe, PA
Rochester, PA
Washington, PA",ATI,N/A,2026-Summer,,"Aerospace,Industrial",5001-10000,1. Currently attending accredited 4-year college with an Engineering major
Software Engineering Intern (Summer/Fall 2026),2026-03-26,https://jobright.ai/jobs/info/69c59d611818a24cd84b8457?utm_source=1099&utm_campaign=Software Engineer,On Site,"Cambridge, MA",Cartesian,$50000-$77000 /yr,2026-Summer,,,11-50,"1. Motivated upper-level undergraduates or graduate students
2. Exceptional engineer: You write clean, effective code and default to simple, maintainable solutions.
3. High ownership: You take problems end-to-end, and make sure they get done.
..."
Mobile Engineering Intern (Summer/Fall 2026),2026-03-26,https://jobright.ai/jobs/info/69c59c5baa3c2c1995e01da7?utm_source=1099&utm_campaign=Software Engineer,On Site,"Cambridge, MA",Cartesian,$55000-$77000 /yr,2026-Summer,,,11-50,"1. Motivated upper-level undergraduates or graduate students
2. Exceptional engineer: You write clean, effective code and default to simple, maintainable solutions.
3. Good instincts for when complexity is worth it and can articulate why.
..."
Software Engineering  Intern,2026-03-26,https://jobright.ai/jobs/info/69bc6b2745e08b3dc1f91865?utm_source=1099&utm_campaign=Software Engineer,On Site,"New York, NY","Jaros, Baum & Bolles",$22-$22 /hr,,,"\Heating, Ventilation",251-500,"1. Pursuing a Bachelor's or Master’s degree in computer science, Engineering or a related technical field
2. Technical skills in C#, JavaScript, Python, Azure web services (Cosmos/Functions/AppServices), ASP.NET, Revit/AC API
3. Understanding of relational databases"
2026 Summer intern - Test Development Engineer,2026-03-26,https://jobright.ai/jobs/info/69c5998d1b5ad02887376a06?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",WD,N/A,2026-Summer,,"Big Data,Computer",10000+,"1. Comprehensive understanding of electronics and electronic signal measurements
2. Proficient coding capability in C, C++, and Python
3. Demonstrated experience with data analysis tools (JMP and equivalent platforms)
..."
Software Engineer Intern,2026-03-26,https://jobright.ai/jobs/info/69c595281818a24cd84b8169?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Long Beach, CA",Laserfiche,$35-$40 /hr,,,"Artificial Intelligence (AI),Business Process Automation (BPA)",251-500,"1. Pursuing a bachelor or master’s degree in computer science or related field in the 2026-2027 academic year.
2. A creative mind and a drive to succeed.
3. Good programming, problem-solving and analytical skills, and attention to detail.
..."
Intern - Software Development Summer 2026,2026-03-26,https://jobright.ai/jobs/info/69c591a0aa3c2c1995e01996?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Austin, TX
US-TX-Austin
Austin, TX, US",WGI,N/A,2026-Summer,,,501-1000,"1. Must have completed at least two years from an accredited college in Computer Science, Software Engineering, Information Systems, or a related field
2. Solid PC skills and the ability to use Microsoft Applications (Outlook, Word, Excel)
3. Must be punctual, dependable and follow company policy and guidelines
..."
Web Development Intern,2026-03-26,https://jobright.ai/jobs/info/69c5892ee565c26a70011f0a?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Dayton, OH
Dayton, OH, US, 45404",MAHLE,N/A,,,"Automotive,Fuel",10000+,"1. Currently pursuing a degree in Computer Science, Web Development, Information Technology, or a related field, or a recent graduate.
2. Foundational understanding and coursework experience in HTML, CSS, JavaScript, and PHP.
3. Familiarity with database management concepts and SQL.
..."
Summer Intern - HMI Domain,2026-03-26,https://jobright.ai/jobs/info/69a8c2bf79f3f4037f4337f5?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Novi, MI
Novi - Michigan, USA - Cabot Drive",HARMAN International,$21-$38 /hr,,,"Audio,Consumer",10000+,"1. Familiarity with programming languages (e.g.., Java, Kotlin, C++)
2. Coursework in computer engineering, computer science, or other related topics
3. Strong problem-solving and analytical skills
..."
Internship - Software Engineering - Summer 2026,2026-03-26,https://jobright.ai/jobs/info/69c5853f1818a24cd84b7830?utm_source=1099&utm_campaign=Software Engineer,On Site,"Cedar Park, TX",Firefly Aerospace,N/A,2026-Summer,,"Aerospace,Air Transportation",501-1000,"1. Enrollment or a recent graduate in a Bachelor’s or Master’s Degree program with a focus on Aerospace Engineering, Computer Sciences, Software Engineering, or a related field at an accredited four-year university or college
2. Knowledge in a specific software engineering or aerospace engineering area such as orbital mechanics, trajectory analysis, control theory, filtering, machine learning, artificial intelligence, database technologies, networking, embedded software, or a related field
3. Experience with software development in C++, Python, or LabVIEW
..."
QA Testing & Vibe Coding Internship,2026-03-26,https://jobright.ai/jobs/info/69c5826caa3c2c1995e005de?utm_source=1099&utm_campaign=Software Engineer,Remote,"Miami, FL",Marketeq Talent,Unpaid,,,,1-10,"1. Master’s Degree Required
2. 1–2 years of professional QA experience strongly preferred
3. QA bootcamp certificate or QA certification strongly preferred
..."
Software Engineer Intern,2026-03-26,https://jobright.ai/jobs/info/69a5c4ecb600907a962b6ec1?utm_source=1099&utm_campaign=Software Engineer,On Site,"Milwaukee, WI",Direct Supply,N/A,,,"E-Commerce,Health Care",5001-10000,"1. Enrolled in a Computer Science, Computer Engineering or Software Engineering degree program, with a graduation of December of '27 or later.
2. Experience with one or more modern programming languages (e.g., Python, JavaScript, C#).
3. Demonstrated basic knowledge of databases and SQL, enabling effective handling of data storage and retrieval tasks.
..."
"Application Developer Intern - Indianapolis, IN (Summer 2026)",2026-03-26,https://jobright.ai/jobs/info/69c57ddbe565c26a700105d7?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
Indianapolis, IN
800 East 96th Street, Suite 200 , Indianapolis, IN, 46240, US",Myers and Stauffer LC,N/A,2026-Summer,,"Accounting,Consulting",501-1000,"1. Intern must be working toward or recently completed a Bachelor's degree in computer engineering, computer science, management information systems or related field"
Power Platform Developer Intern,2026-03-26,https://jobright.ai/jobs/info/69c57d43aa9a29199e805597?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Hampton, VA
US-VA-Hampton",Amentum,$17.82-$17.82 /hr,,,"Mechanical Engineering,Security",10000+,"1. U.S. Citizenship is required.
2. Ability to understand basic engineering terminology.
3. Must be able to effectively communicate both orally and written with effective use of visual aids.
..."
Software Engineer Intern - Payments Summer 2026,2026-03-26,https://jobright.ai/jobs/info/69c1fe83c9ad035e829a6818?utm_source=1099&utm_campaign=Software Engineer,Remote,"Multi Location
Chicago, IL
Chicago (Green St), IL",CCC Intelligent Solutions,$20-$43 /hr,2026-Summer,,"Artificial Intelligence (AI),Cloud Data Services",1001-5000,"1. In pursuit of an Associate, Bachelor's or Master's throughout your internship.
2. Completed your sophomore/junior year at a top-tier university.
3. Demonstrated excellence in your academic studies.
..."
Software Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69aa4ae42ebd316bece20b3c?utm_source=1099&utm_campaign=Software Engineer,On Site,"Tysons Corner, VA",Alarm.com,N/A,,,"Internet,Internet of Things",1001-5000,"1. Must be currently pursuing a B.A. or B.S. in Computer Science or similar engineering program with strong academic performance
2. Self-starter, analytical, tenacious problem solver
3. Strong verbal and written communication skills
..."
Engineering Co-op - Fall 2026,2026-03-26,https://jobright.ai/jobs/info/6981564b7f40342e15da58a8?utm_source=1099&utm_campaign=Software Engineer,On Site,"Minnetonka, MN","AtriCure, Inc.",N/A,2026-Fall,,"Biotechnology,Health Care",1001-5000,"1. Currently pursuing an undergraduate degree in Biomedical, Mechanical, Electrical Engineering, or Computer Science
2. High School diploma
3. Desire to initiate an engineering career in future
..."
